Station,Postcode,Latitude,Longitude,Owner
Harlow Town,CM20 2JD,51.78106849,0.095131793,Greater Anglia
Harold Wood,RM3 0BL,51.59276405,0.233128598,TfL Rail
Harpenden,AL5 4SP,51.81464378,-0.35148053,Govia Thameslink Railway (Thameslink)
Harrietsham,ME17 1JA,51.24483003,0.672399309,Southeastern
Harringay,N4 1RE,51.57735674,-0.105136139,Govia Thameslink Railway (Great Northern)
Harringay Green Lanes,N4 1DR,51.57718067,-0.098143778,London Overground
Harrington,CA14 5QQ,54.61348859,-3.565515351,Northern Trains
Harrogate,HG1 1TE,53.9931777,-1.53760792,Northern Trains
Harrow and Wealdstone,HA3 5BP,51.59216753,-0.334571478,London Underground
Harrow-On-The-Hill,HA1 1BB,51.57918447,-0.337225439,London Underground
Hartford (Cheshire),CW8 1QX,53.24176074,-2.553629792,West Midlands Trains (London Northwestern Railway)
Hartlebury,DY10 4HB,52.33449692,-2.221119193,West Midlands Trains (West Midlands Railway)
Hartlepool,TS24 7ED,54.68675585,-1.207316314,Northern Trains
Hartwood,ML7 7DU,55.81148519,-3.839322676,ScotRail
Harwich International,CO12 4SR,51.94728571,1.255124259,Greater Anglia
Harwich Town,CO12 3NA,51.94414155,1.286681684,Greater Anglia
Haslemere,GU27 2PE,51.08864765,-0.719162656,South Western Railway
Hassocks,BN6 8JD,50.92461434,-0.14595306,Govia Thameslink Railway (Southern)
Hastings,TN34 1BA,50.85789324,0.576741777,Southeastern
Hatch End,HA5 4HU,51.60941584,-0.368601443,London Overground
